
Thu Jan  5 15:42:30 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:43:31 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:44:31 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:45:32 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:46:33 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:47:34 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:48:35 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:49:35 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:50:36 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:51:37 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:52:38 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:53:39 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:54:39 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:55:40 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:56:41 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:57:42 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:58:43 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 15:59:43 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 16:00:44 2023, 0, 17925, 0, 6, 3630, 0, 7, 0, 0, 0, 0
Thu Jan  5 16:01:45 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:02:46 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:03:47 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:04:47 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:05:48 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:06:49 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:07:50 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:08:51 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:09:51 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:10:52 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:11:53 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:12:54 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:13:55 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:14:55 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:15:56 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:16:57 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:17:58 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:18:59 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:19:59 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:21:00 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:22:01 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:23:02 2023, 0, 17925, 0, 6, 3630, 0, 7, 75, 0, 0, 0
Thu Jan  5 16:24:03 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:25:03 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:26:04 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:27:05 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:28:06 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:29:07 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:30:07 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:31:08 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:32:09 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:33:10 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:34:11 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:35:11 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:36:12 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:37:13 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:38:14 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:39:15 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:40:15 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:41:16 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:42:17 2023, 0, 17925, 0, 6, 3630, 0, 7, 150, 0, 0, 0
Thu Jan  5 16:43:18 2023, 0, 17925, 0, 6, 3630, 0, 7, 225, 0, 0, 0
Thu Jan  5 16:44:19 2023, 0, 17925, 0, 6, 3630, 0, 7, 225, 0, 0, 0
Thu Jan  5 16:45:19 2023, 0, 17925, 0, 6, 3630, 0, 7, 225, 0, 0, 0
Thu Jan  5 16:46:20 2023, 0, 17925, 0, 6, 3630, 0, 7, 225, 0, 0, 0
